sal_code_2021,suburb,population_2021
SAL40119,Blackwood (SA),4266
SAL10399,Blair Athol (NSW),2725
SAL40120,Blair Athol (SA),5274
SAL20257,Blairgowrie,2786
SAL10402,Blakehurst,6652
SAL40121,Blakeview,8979
SAL10406,Blaxland (NSW),7434
SAL10409,Blayney,3448
SAL30287,Bli Bli,10138
SAL10410,Bligh Park,6220
SAL20260,Blind Bight,1290
SAL10413,Blue Bay,1060
SAL10414,Blue Haven,6563
SAL30292,Bluewater,1085
SAL30293,Bluewater Park,1066
SAL50132,Bluff Point,1381
SAL10420,Boambee,1770
SAL10421,Boambee East,5304
SAL50137,Boddington,1178
SAL10438,Bogangar,3313
SAL10440,Boggabilla,1022
SAL10441,Boggabri,1203
SAL30300,Bohle Plains,3989
SAL30302,Bokarina,1935
SAL10448,Bolton Point,2124
SAL10449,Bolwarra (NSW),1350
SAL10450,Bolwarra Heights,3436
SAL10452,Bomaderry,6738
SAL10454,Bombala,1372
SAL20278,Bonbeach,6855
SAL10462,Bondi,10411
SAL10463,Bondi Beach,11513
SAL10465,Bondi Junction,10361
SAL30309,Bongaree,8162
SAL10466,Bonnells Bay,4066
SAL80025,Bonner,7339
SAL10467,Bonnet Bay,2238
SAL10468,Bonny Hills,3045
SAL10469,Bonnyrigg,9785
SAL10470,Bonnyrigg Heights,7369
SAL30312,Bonogin,4896
SAL10472,Bonville,2939
SAL80026,Bonython,3839
SAL30317,Booie,1094
SAL10475,Booker Bay,1442
SAL10480,Boolaroo,1636
SAL20288,Boolarra,1023
SAL30321,Boonah (Qld),2557
SAL30324,Boondall,9603
SAL50148,Booragoon,5684
SAL10493,Booragul,1623
SAL30329,Booral (Qld),1636
SAL10499,Boorooma,1741
SAL10501,Boorowa,1888
SAL30332,Booval,2723
SAL40142,Bordertown,3095
SAL20304,Boronia,23607
SAL30336,Boronia Heights,8175
SAL10513,Bossley Park,15492
SAL40145,Boston,1169
SAL20307,Botanic Ridge,6739
SAL10515,Botany,12960
SAL50159,Boulder,4872
SAL30339,Bouldercombe,1117
SAL10520,Bourke,1699
SAL10521,Bourkelands,3113
SAL10524,Bow Bowing,1606
SAL40146,Bowden,1808
SAL30342,Bowen,11205
SAL30343,Bowen Hills,4898
SAL10526,Bowen Mountain,1609
SAL10527,Bowenfels,2049
SAL10534,Bowral,10764
SAL10535,Bowraville,1157
SAL10537,Box Hill (NSW),6450
SAL20314,Box Hill (Vic.),14353
SAL20315,Box Hill North,12337
SAL20316,Box Hill South,8491
SAL50169,Boyanup,1304
SAL30346,Boyne Island,4835
SAL50173,Brabham,8665
SAL30353,Bracken Ridge,17488
SAL10540,Bradbury (NSW),9433
SAL80027,Braddon,6383
SAL40153,Brahma Lodge,3380
SAL10544,Braidwood,1720
SAL70039,Braitling,3160
SAL30359,Brandon,1088
SAL10546,Branxton,2255
SAL30361,Branyan,4660
SAL30362,Brassall,12115
SAL30363,Bray Park (Qld),10271
SAL20324,Braybrook,9682
SAL10554,Breakfast Point,4678
SAL20326,Breakwater,1060
SAL30367,Brendale,3100
SAL50178,Brentwood (WA),2153
SAL20330,Briagolong,1133
SAL20331,Briar Hill,3220
SAL30369,Bridgeman Downs,10938
SAL50180,Bridgetown,3168
SAL40158,Bridgewater (SA),3719
SAL60073,Bridgewater (Tas.),4592
SAL60074,Bridport,1742
SAL50181,Brigadoon,1025
SAL20336,Bright (Vic.),2620
SAL30373,Brighton (Qld),9664
SAL40160,Brighton (SA),3834
SAL60075,Brighton (Tas.),4983
SAL20337,Brighton (Vic.),23252
SAL20338,Brighton East,16757
SAL10566,Brighton-Le-Sands,8336
SAL10572,Bringelly,2433
SAL70040,Brinkin,1117
SAL30377,Brinsmead,5537
SAL30379,Brisbane City,12587
SAL30380,Broadbeach,6786
SAL30381,Broadbeach Waters,8164
SAL20345,Broadford,4592
SAL10575,Broadmeadow,1688
SAL20346,Broadmeadows (Vic.),12524
SAL40164,Broadview,4450
SAL50183,Broadwater (WA),4269
SAL10589,Broken Hill,17706
SAL40165,Brompton,3729
SAL10591,Bronte,7166
SAL50187,Brookdale (WA),2968
SAL30386,Brookfield (Qld),3640
SAL20351,Brookfield (Vic.),10782
SAL20352,Brooklyn (Vic.),1979
SAL40167,Brooklyn Park,5040
SAL10598,Brookvale,3389
SAL30390,Brookwater,2902
SAL50190,Broome,3797
SAL10605,Broulee,1947
SAL20356,Brown Hill (Vic.),4489
SAL30395,Browns Plains (Qld),6632
SAL80028,Bruce (ACT),7520
SAL20361,Brunswick (Vic.),24896
SAL50197,Brunswick (WA),1195
SAL20362,Brunswick East,13279
SAL10618,Brunswick Heads,1905
SAL20363,Brunswick West,14746
SAL30402,Bucasia,4915
SAL30403,Bucca (Qld),1063
SAL30404,Buccan,2134
SAL30407,Buddina,4236
SAL30408,Buderim,31430
SAL10639,Budgewoi,3497
SAL10642,Buff Point,3559
SAL10646,Bulahdelah,1538
SAL50200,Bulgarra,2990
SAL30412,Bulimba,7623
SAL50201,Bull Creek (WA),8030
SAL10653,Bullaburra,1300
SAL20386,Bulleen,11219
SAL10659,Bulli,6798
SAL50207,Bullsbrook,5605
SAL50210,Bunbury (WA),3948
SAL30421,Bundaberg East,2839
SAL30422,Bundaberg North,5563
SAL30423,Bundaberg South,3494
SAL30424,Bundaberg West,2596
SAL30425,Bundall,4895
SAL30426,Bundamba,6542
SAL10667,Bundanoon (NSW),2869
SAL10669,Bundeena,2103
SAL20399,Bundoora (Vic.),28068
SAL30431,Bungalow,2358
SAL10679,Bungarribee,3177
SAL10681,Bungendore,4745
SAL20409,Buninyong,3797
SAL30437,Bunya,1968
SAL20411,Bunyip,3131
SAL30440,Burbank,1051
SAL30441,Burdell,7171
SAL30445,Burleigh Heads,10572
SAL30446,Burleigh Waters,14556
SAL30449,Burnett Heads,2908
SAL50221,Burns Beach,4071
SAL30450,Burnside (Qld),3104
SAL40192,Burnside (SA),3060
SAL20419,Burnside (Vic.),5800
SAL20420,Burnside Heights,6377
SAL10693,Buronga,1252
SAL30451,Burpengary,16488
SAL30452,Burpengary East,9654
SAL40193,Burra (SA),1112
SAL10698,Burradoo,2879
SAL10702,Burraneer,3719
SAL10709,Burrill Lake,1782
SAL30455,Burrum Heads,2538
SAL50226,Burswood,2779
SAL40196,Burton (SA),6519
SAL10716,Burwood (NSW),18224
SAL20426,Burwood (Vic.),15147
SAL20427,Burwood East,10675
SAL10717,Burwood Heights,1134
SAL10718,Busby,4446
SAL30460,Bushland Beach,6641
SAL50228,Busselton,1838
SAL50229,Butler (WA),13473
SAL10721,Buttaba,1204
SAL10724,Buxton (NSW),2071
SAL50230,Byford,18878
SAL10731,Byron Bay,6330
SAL10733,Bywong,1342
